"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M_MIN","T2M_MAX","PRECTOTCORR","RH2M","WS10M","ALLSKY_SFC_PAR_TOT"
"59",46.29,-63.12,1990,4,28,118,1990-04-28,-4.17,-0.53,0.19,86.5,8.27,13.1
"60",46.29,-63.12,1990,4,29,119,1990-04-29,-1.04,-0.1,1.36,88.94,7.63,8.7
"61",46.29,-63.12,1990,4,30,120,1990-04-30,-1.35,-0.65,0.82,83.12,10.11,8.1
"62",46.29,-63.12,1990,5,1,121,1990-05-01,-1.31,-0.14,9.55,89.06,14.51,7.9
"63",46.29,-63.12,1990,5,2,122,1990-05-02,-1.02,-0.13,8.85,93.19,13.63,8.7
"64",46.29,-63.12,1990,5,3,123,1990-05-03,-1.42,-0.51,3.38,94.44,8.99,6.9
"65",46.29,-63.12,1990,5,4,124,1990-05-04,-2.7,-0.52,0.02,83.12,3.2,10.6
"66",46.29,-63.12,1990,5,5,125,1990-05-05,-3.69,-2.49,0.45,91.31,2.7,9.6
"67",46.29,-63.12,1990,5,6,126,1990-05-06,-3.08,-1.97,0.29,87.38,6.38,6.5
"68",46.29,-63.12,1990,5,7,127,1990-05-07,-1.87,-1,2.68,93.75,10.04,7.6
"69",46.29,-63.12,1990,5,8,128,1990-05-08,-1.19,-0.41,7.68,93.88,14.78,5.4
"70",46.29,-63.12,1990,5,9,129,1990-05-09,-4.92,-0.62,1.29,85.44,17.53,5.2
"71",46.29,-63.12,1990,5,10,130,1990-05-10,-6.55,-4.61,0.69,82.56,13.02,5.5
"72",46.29,-63.12,1990,5,11,131,1990-05-11,-7.89,-6.03,0.32,82.44,7.2,6
"73",46.29,-63.12,1990,5,12,132,1990-05-12,-5.6,-3.36,0.91,75.81,6.02,4.6
"74",46.29,-63.12,1990,5,13,133,1990-05-13,-4.71,-3.33,1.08,80.06,7.78,5
"75",46.29,-63.12,1990,5,14,134,1990-05-14,-5.1,-3.42,1.64,81.44,8.68,4.5
"76",46.29,-63.12,1990,5,15,135,1990-05-15,-5.33,-3.99,0.64,78.81,7.45,3.8
"77",46.29,-63.12,1990,5,16,136,1990-05-16,-4.42,-1.35,1.23,81.25,8.19,3.8
"78",46.29,-63.12,1990,5,17,137,1990-05-17,-3.23,-1.31,0.48,84.5,7.29,4.9
"79",46.29,-63.12,1990,5,18,138,1990-05-18,-3.51,-1.25,0.37,82.31,6.66,3.9
"80",46.29,-63.12,1990,5,19,139,1990-05-19,-3.31,-1.88,0.1,77.31,4.92,3
"81",46.29,-63.12,1990,5,20,140,1990-05-20,-2.98,-0.87,1.21,79.75,6.95,4.1
"82",46.29,-63.12,1990,5,21,141,1990-05-21,-0.96,0.19,15.1,95.12,12.34,2.8
"83",46.29,-63.12,1990,5,22,142,1990-05-22,-0.79,-0.12,4,96.06,8.93,3.2
"84",46.29,-63.12,1990,5,23,143,1990-05-23,-1.61,-0.24,3.11,97,4.7,2.6
"85",46.29,-63.12,1990,5,24,144,1990-05-24,-5.06,-1.65,1.44,87,9.57,2.3
"86",46.29,-63.12,1990,5,25,145,1990-05-25,-4.84,-3.55,2.48,81.62,5.1,2.2
"87",46.29,-63.12,1990,5,26,146,1990-05-26,-6.17,-4.06,0.58,76,6.34,2.1
"88",46.29,-63.12,1990,5,27,147,1990-05-27,-3.94,-2.43,2.52,81.81,11.45,2
"89",46.29,-63.12,1990,5,28,148,1990-05-28,-4.92,-2.2,3.03,81.31,5.45,2
"90",46.29,-63.12,1990,5,29,149,1990-05-29,-8.83,-4.31,2.11,84.69,8.1,2
"91",46.29,-63.12,1990,5,30,150,1990-05-30,-6.37,-1.55,0.54,80.62,9.52,1.7
"92",46.29,-63.12,1990,5,31,151,1990-05-31,-2.12,-1.54,0.48,82.19,9.13,2.3
"93",46.29,-63.12,1990,6,1,152,1990-06-01,-2.08,-1.61,1.1,82.25,10.22,1.5
"94",46.29,-63.12,1990,6,2,153,1990-06-02,-1.97,-1.01,4.42,96.31,9.06,1.4
"95",46.29,-63.12,1990,6,3,154,1990-06-03,-3.58,-1.17,4.05,91.75,11.3,1.4
"96",46.29,-63.12,1990,6,4,155,1990-06-04,-5.96,-2.76,0.8,77.69,6.77,1.4
"97",46.29,-63.12,1990,6,5,156,1990-06-05,-3.75,-1.72,3.62,90.31,7.52,1.3
"98",46.29,-63.12,1990,6,6,157,1990-06-06,-3.24,-1.93,3.81,87.62,10.07,1.2
"99",46.29,-63.12,1990,6,7,158,1990-06-07,-2.38,-1.83,14.86,90.88,18.55,1.2
"100",46.29,-63.12,1990,6,8,159,1990-06-08,-2.89,-1.27,8,91.94,18.2,1.1
"101",46.29,-63.12,1990,6,9,160,1990-06-09,-4.81,-3.2,2.53,86.88,20.76,1.2
"102",46.29,-63.12,1990,6,10,161,1990-06-10,-4.2,-3.07,2.96,89.31,16.02,1
"103",46.29,-63.12,1990,6,11,162,1990-06-11,-6.92,-2.46,3.47,87.44,14.23,1.1
"104",46.29,-63.12,1990,6,12,163,1990-06-12,-11.43,-6.98,0.57,87.19,8.37,0.9
"105",46.29,-63.12,1990,6,13,164,1990-06-13,-10.71,-4.18,1.37,80.88,6.62,1
"106",46.29,-63.12,1990,6,14,165,1990-06-14,-7.1,-4.24,0.89,81.94,5.06,1
"107",46.29,-63.12,1990,6,15,166,1990-06-15,-7.06,-6.48,1.02,79.5,3.19,1.2
"108",46.29,-63.12,1990,6,16,167,1990-06-16,-7.66,-6.37,0.62,76.38,2.78,1
"109",46.29,-63.12,1990,6,17,168,1990-06-17,-6.53,-5.92,0.02,67.44,4.41,1.2
"110",46.29,-63.12,1990,6,18,169,1990-06-18,-6.45,-4.26,1.51,79.19,6.77,1
"111",46.29,-63.12,1990,6,19,170,1990-06-19,-5.42,-3.38,2.2,77.88,10.14,0.8
"112",46.29,-63.12,1990,6,20,171,1990-06-20,-6.01,-2.88,2.4,77.69,15.88,0.8
"113",46.29,-63.12,1990,6,21,172,1990-06-21,-8.33,-6.24,0.42,82.69,9.77,0.8
"114",46.29,-63.12,1990,6,22,173,1990-06-22,-7.51,-5.82,0.63,69.88,6.64,0.8
"115",46.29,-63.12,1990,6,23,174,1990-06-23,-5.52,-1.75,7.24,90.62,9.63,0.9
"116",46.29,-63.12,1990,6,24,175,1990-06-24,-2.79,-1.42,6.65,93,6.68,0.8
"117",46.29,-63.12,1990,6,25,176,1990-06-25,-5.06,-2.86,3.79,89.62,8.84,1.1
"118",46.29,-63.12,1990,6,26,177,1990-06-26,-7.43,-4.2,3.7,93.38,14.2,0.9
"119",46.29,-63.12,1990,6,27,178,1990-06-27,-8,-6.66,2.32,92.25,13.87,1.2
"120",46.29,-63.12,1990,6,28,179,1990-06-28,-8.85,-7.13,1.32,86.81,15.05,0.9
"121",46.29,-63.12,1990,6,29,180,1990-06-29,-7.5,-5.1,1.71,80.31,5.47,1.1
"122",46.29,-63.12,1990,6,30,181,1990-06-30,-7.4,-5.64,4.26,84.12,3.47,1.1
"123",46.29,-63.12,1990,7,1,182,1990-07-01,-7.2,-1.77,2.98,82.88,8.6,1
"124",46.29,-63.12,1990,7,2,183,1990-07-02,-2.93,-0.52,6.11,88.5,13.84,1.5
"125",46.29,-63.12,1990,7,3,184,1990-07-03,-1.9,-0.92,2.32,90.44,11.8,1
"126",46.29,-63.12,1990,7,4,185,1990-07-04,-1.23,-0.53,6.03,92.5,12.91,1.1
"127",46.29,-63.12,1990,7,5,186,1990-07-05,-2.34,-0.98,6.33,83.62,10.11,1.4
"128",46.29,-63.12,1990,7,6,187,1990-07-06,-2.31,-1.39,6.52,94.06,8.02,1.2
"129",46.29,-63.12,1990,7,7,188,1990-07-07,-2.8,-1.79,1.65,85.06,5.13,1.3
"130",46.29,-63.12,1990,7,8,189,1990-07-08,-3.78,-1.61,1.04,84.06,5.11,1.3
"131",46.29,-63.12,1990,7,9,190,1990-07-09,-4.92,-1.25,0.95,85,7.01,1.4
"132",46.29,-63.12,1990,7,10,191,1990-07-10,-1.94,-0.75,7.29,92.62,11.28,1.4
"133",46.29,-63.12,1990,7,11,192,1990-07-11,-3.62,-2.11,1.23,85.81,7.06,2.1
"134",46.29,-63.12,1990,7,12,193,1990-07-12,-4.61,-1.54,2.54,87.5,3.91,1.9
"135",46.29,-63.12,1990,7,13,194,1990-07-13,-4.58,-1.42,8.85,93.19,9.81,1.7
"136",46.29,-63.12,1990,7,14,195,1990-07-14,-1.59,-1.03,4.82,95.81,8.25,2.3
"137",46.29,-63.12,1990,7,15,196,1990-07-15,-2.96,-1.27,1.02,95.19,6.06,1.9
"138",46.29,-63.12,1990,7,16,197,1990-07-16,-3.24,-1.34,2.34,94.31,3.45,2
"139",46.29,-63.12,1990,7,17,198,1990-07-17,-3.03,-1.52,3.53,90.69,10.39,2
"140",46.29,-63.12,1990,7,18,199,1990-07-18,-1.74,-1.18,2.96,93.5,9.38,2.2
"141",46.29,-63.12,1990,7,19,200,1990-07-19,-3.17,-1.61,3.72,90.75,7.73,3
"142",46.29,-63.12,1990,7,20,201,1990-07-20,-2.5,-1.82,1.52,95.06,6,3.5
"143",46.29,-63.12,1990,7,21,202,1990-07-21,-3.96,-2.21,2.71,88.06,11.12,3
"144",46.29,-63.12,1990,7,22,203,1990-07-22,-9.22,-4.24,0.26,87.31,9.98,3.5
"145",46.29,-63.12,1990,7,23,204,1990-07-23,-10.06,-7.03,0.17,88.44,6.86,4
"146",46.29,-63.12,1990,7,24,205,1990-07-24,-6.78,-2.92,1.44,89.69,10.23,4.1
"147",46.29,-63.12,1990,7,25,206,1990-07-25,-11.81,-6.68,0.96,94.81,12.88,4.4
"148",46.29,-63.12,1990,7,26,207,1990-07-26,-12.2,-3.35,2.74,93.62,9.53,3.3
"149",46.29,-63.12,1990,7,27,208,1990-07-27,-11.72,-3.02,0.78,91.69,8.67,3.6
"150",46.29,-63.12,1990,7,28,209,1990-07-28,-14.64,-6.26,0.4,94.88,4.84,4.1
"151",46.29,-63.12,1990,7,29,210,1990-07-29,-6,-0.17,11.24,94.25,12.19,4
"152",46.29,-63.12,1990,7,30,211,1990-07-30,-3.92,0.62,4.42,87.25,11.6,4.2
"153",46.29,-63.12,1990,7,31,212,1990-07-31,-4.59,-2.91,0.87,84.56,11.02,5.4
"154",46.29,-63.12,1990,8,1,213,1990-08-01,-7.88,-3.04,0.34,76.62,3.16,4.9
"155",46.29,-63.12,1990,8,2,214,1990-08-02,-11.55,-8.32,0.37,90.06,7.73,6.5
"156",46.29,-63.12,1990,8,3,215,1990-08-03,-11.15,-8.71,0,73.25,2.01,7.9
"157",46.29,-63.12,1990,8,4,216,1990-08-04,-11.69,-7.61,0.76,88.75,4.05,7.7
"158",46.29,-63.12,1990,8,5,217,1990-08-05,-11.05,-7.19,0.34,81.44,3.55,7.2
"159",46.29,-63.12,1990,8,6,218,1990-08-06,-15.06,-11.52,0.35,87.69,9.23,7.2
"160",46.29,-63.12,1990,8,7,219,1990-08-07,-10.42,-2.06,7.1,94.62,8.66,6.7
"161",46.29,-63.12,1990,8,8,220,1990-08-08,-6.23,-3.91,1.38,93,7.02,7.4
"162",46.29,-63.12,1990,8,9,221,1990-08-09,-11.67,-3.22,0.37,81.94,7.64,7.5
"163",46.29,-63.12,1990,8,10,222,1990-08-10,-11.24,-3.77,6.94,96.06,5.12,9.2
"164",46.29,-63.12,1990,8,11,223,1990-08-11,-17.35,-7.68,1.32,88.62,12.29,9.5
"165",46.29,-63.12,1990,8,12,224,1990-08-12,-19.09,-12.98,3.41,89.5,6.05,10
"166",46.29,-63.12,1990,8,13,225,1990-08-13,-23.67,-19.55,0.32,96.62,8.74,10.5
"167",46.29,-63.12,1990,8,14,226,1990-08-14,-23.59,-13.62,0.28,93.44,3.97,9.1
"168",46.29,-63.12,1990,8,15,227,1990-08-15,-14.04,-3.69,7.04,94.56,10.97,11.5
"169",46.29,-63.12,1990,8,16,228,1990-08-16,-18.45,-4.83,0.46,88.12,8.77,12.8
"170",46.29,-63.12,1990,8,17,229,1990-08-17,-18.03,-7.43,3.66,96.62,6.96,12.9
"171",46.29,-63.12,1990,8,18,230,1990-08-18,-16.99,-4.4,1.25,90.19,11.3,11.6
"172",46.29,-63.12,1990,8,19,231,1990-08-19,-18.27,-16.93,0.22,85.19,13.77,14.5
"173",46.29,-63.12,1990,8,20,232,1990-08-20,-16.5,-3.85,4.83,96.88,7.08,12.1
"174",46.29,-63.12,1990,8,21,233,1990-08-21,-13.21,-2.89,2.47,96.75,6.85,13.5
"175",46.29,-63.12,1990,8,22,234,1990-08-22,-15.82,-5.47,2.28,90,9.59,13.4
"176",46.29,-63.12,1990,8,23,235,1990-08-23,-13.47,-3.43,1.73,89.62,13.83,16.3
"177",46.29,-63.12,1990,8,24,236,1990-08-24,-15.5,-12.34,0.58,87.31,11.38,13.4
"178",46.29,-63.12,1990,8,25,237,1990-08-25,-12.92,-9.24,7.56,94.81,9.07,19.7
"179",46.29,-63.12,1990,8,26,238,1990-08-26,-9.99,-4.38,6.48,98.44,6.58,14.9
"180",46.29,-63.12,1990,8,27,239,1990-08-27,-9.33,-7.77,1.32,90.75,4.99,18.1
"181",46.29,-63.12,1990,8,28,240,1990-08-28,-13.52,-7.77,1.12,90.75,9.02,16.9
"182",46.29,-63.12,1990,8,29,241,1990-08-29,-13.52,-11.17,1.19,87.75,11.48,20.7
"183",46.29,-63.12,1990,8,30,242,1990-08-30,-18.26,-12.34,0.51,84.94,10.85,19.7
"184",46.29,-63.12,1990,8,31,243,1990-08-31,-20.18,-17.71,0.43,88.25,4.98,27.2
"185",46.29,-63.12,1990,9,1,244,1990-09-01,-20.39,-17.92,1.09,94.69,7.16,28
"186",46.29,-63.12,1990,9,2,245,1990-09-02,-22.32,-19.88,0.44,91.19,5.06,31.5
"187",46.29,-63.12,1990,9,3,246,1990-09-03,-23.91,-21.4,0.32,90.62,9.38,27.7
"188",46.29,-63.12,1990,9,4,247,1990-09-04,-26.4,-17.2,2.85,93.56,8.54,23.4
"189",46.29,-63.12,1990,9,5,248,1990-09-05,-16.23,-5.87,2.2,92.56,7.12,21.8
"190",46.29,-63.12,1990,9,6,249,1990-09-06,-20.58,-12.6,0.58,89.19,8.94,33.3
"191",46.29,-63.12,1990,9,7,250,1990-09-07,-20.5,-5.13,5.77,96.94,6,24.8
"192",46.29,-63.12,1990,9,8,251,1990-09-08,-19.24,-9.86,0.38,89,11.05,35
"193",46.29,-63.12,1990,9,9,252,1990-09-09,-17.77,-3.45,4.59,92.19,11.41,31.3
"194",46.29,-63.12,1990,9,10,253,1990-09-10,-21.17,-17.19,1.16,84.94,14.91,14.4
"195",46.29,-63.12,1990,9,11,254,1990-09-11,-18.52,-12.95,2.77,87.62,7.84,29.5
"196",46.29,-63.12,1990,9,12,255,1990-09-12,-17.06,-13.38,3.74,93.19,10.79,33.4
"197",46.29,-63.12,1990,9,13,256,1990-09-13,-17.74,-15.02,0.41,80.44,12.8,31.6
"198",46.29,-63.12,1990,9,14,257,1990-09-14,-18.23,-16.2,0.3,88.5,8.27,37.3
"199",46.29,-63.12,1990,9,15,258,1990-09-15,-20.33,-15.33,0.22,87.75,8.41,43.5
"200",46.29,-63.12,1990,9,16,259,1990-09-16,-21.52,-5.86,1.46,98.25,7.79,40.8
"201",46.29,-63.12,1990,9,17,260,1990-09-17,-19.2,-11.92,0.24,81,7.54,38.6
"202",46.29,-63.12,1990,9,18,261,1990-09-18,-21.56,-13.72,0.29,90.31,7.12,43.5
"203",46.29,-63.12,1990,9,19,262,1990-09-19,-22.93,-11.56,6.47,99,7.12,5.8
"204",46.29,-63.12,1990,9,20,263,1990-09-20,-14.46,-10.47,0.67,89.06,5.91,38.2
"205",46.29,-63.12,1990,9,21,264,1990-09-21,-11.14,-2.45,8.26,96.12,13.23,5.5
"206",46.29,-63.12,1990,9,22,265,1990-09-22,-11.82,-6.11,2.09,89.69,9.76,56.2
"207",46.29,-63.12,1990,9,23,266,1990-09-23,-14.68,-9.67,1.07,83.44,7.03,22.9
"208",46.29,-63.12,1990,9,24,267,1990-09-24,-16.74,-14.42,0.18,81.94,5.69,46.4
"209",46.29,-63.12,1990,9,25,268,1990-09-25,-16.73,-9.54,1.96,88.38,4.4,14.5
"210",46.29,-63.12,1990,9,26,269,1990-09-26,-14.11,-10.37,1.07,86.94,9.13,12.5
"211",46.29,-63.12,1990,9,27,270,1990-09-27,-13.91,-9.77,1.73,85.44,9.36,53.7
"212",46.29,-63.12,1990,9,28,271,1990-09-28,-13.1,-10.86,3.2,92.19,11.95,45
"213",46.29,-63.12,1990,9,29,272,1990-09-29,-13.9,-9.83,2.18,87.75,11.2,55.6
"214",46.29,-63.12,1990,9,30,273,1990-09-30,-16.02,-8.56,1.43,82.06,9.28,58.7
"215",46.29,-63.12,1990,10,1,274,1990-10-01,-7.34,-1.74,2.46,86.69,13.35,14.2
"216",46.29,-63.12,1990,10,2,275,1990-10-02,-13.04,-1.75,3.62,93.5,10.73,16.3
"217",46.29,-63.12,1990,10,3,276,1990-10-03,-13.81,-10.38,0.25,82.62,11.28,35.6
"218",46.29,-63.12,1990,10,4,277,1990-10-04,-11.49,-4.63,2.66,91,5.05,10.7
"219",46.29,-63.12,1990,10,5,278,1990-10-05,-4.92,-3.27,2.26,93.56,4.1,7.9
"220",46.29,-63.12,1990,10,6,279,1990-10-06,-5.88,-1.77,1.58,94.19,4.1,65.4
"221",46.29,-63.12,1990,10,7,280,1990-10-07,-6.03,-0.67,4.31,96.69,8.69,61.9
"222",46.29,-63.12,1990,10,8,281,1990-10-08,-5.16,-1.27,3.72,95.81,7.75,33
"223",46.29,-63.12,1990,10,9,282,1990-10-09,-3.59,-0.98,4.85,95.81,7.33,12.8
"224",46.29,-63.12,1990,10,10,283,1990-10-10,-14.38,-2.68,3.09,94.12,7.22,11.5
"225",46.29,-63.12,1990,10,11,284,1990-10-11,-14.21,-7.85,0.32,82.62,5.39,52.1
"226",46.29,-63.12,1990,10,12,285,1990-10-12,-8.17,-0.12,3.48,95.69,8.19,10.5
"227",46.29,-63.12,1990,10,13,286,1990-10-13,-1.34,-0.27,13.29,97.31,11.33,13.5
"228",46.29,-63.12,1990,10,14,287,1990-10-14,-3.52,-0.64,8,93.19,7.46,12.9
"229",46.29,-63.12,1990,10,15,288,1990-10-15,-4.96,-2.25,0.96,93.62,3.15,93.4
"230",46.29,-63.12,1990,10,16,289,1990-10-16,-10.78,-4.73,0.67,89.69,9.05,65.2
"231",46.29,-63.12,1990,10,17,290,1990-10-17,-11.86,-7.74,0.31,81,12.4,94.4
"232",46.29,-63.12,1990,10,18,291,1990-10-18,-10.65,-6.99,0.71,80.94,7.63,85.9
"233",46.29,-63.12,1990,10,19,292,1990-10-19,-6.63,-1.27,1.12,90.12,7.38,77.1
"234",46.29,-63.12,1990,10,20,293,1990-10-20,-3.79,-1.43,2.08,91.88,8.72,31.3
"235",46.29,-63.12,1990,10,21,294,1990-10-21,-3.48,-2.06,2.51,94.19,9.41,91.5
"236",46.29,-63.12,1990,10,22,295,1990-10-22,-2.89,-0.88,2.07,91.06,11.19,64.7
"237",46.29,-63.12,1990,10,23,296,1990-10-23,-6.08,-2.77,1.15,85.62,8.12,43.6
"238",46.29,-63.12,1990,10,24,297,1990-10-24,-8.03,-4.77,0.53,87.31,7.01,78.8
"239",46.29,-63.12,1990,10,25,298,1990-10-25,-9.02,-4.88,0.39,88.5,8.38,63.2
"240",46.29,-63.12,1990,10,26,299,1990-10-26,-8.8,-4.15,1.99,87.06,8.84,63.4
"241",46.29,-63.12,1990,10,27,300,1990-10-27,-3.93,-1.22,0.6,91.75,6.17,61.6
"242",46.29,-63.12,1990,10,28,301,1990-10-28,-5.65,-3.57,4.21,94.5,5.97,76.9
"243",46.29,-63.12,1990,10,29,302,1990-10-29,-5.7,-2.67,2.72,92.75,9.75,92.7
"244",46.29,-63.12,1990,10,30,303,1990-10-30,-7.37,-3.6,1.39,90.62,9.4,67.2
"245",46.29,-63.12,1990,10,31,304,1990-10-31,-7.69,-4.7,1.04,89.31,8.43,62.3
"246",46.29,-63.12,1990,11,1,305,1990-11-01,-8.69,-6.1,0.7,87,2.98,130.1
"247",46.29,-63.12,1990,11,2,306,1990-11-02,-8.85,-4.65,0.3,82.06,3.31,134.7
"248",46.29,-63.12,1990,11,3,307,1990-11-03,-8.38,-5.43,0.31,79.44,8.41,122.6
"249",46.29,-63.12,1990,11,4,308,1990-11-04,-10.56,-4.96,0.25,82.94,3.18,68.3
"250",46.29,-63.12,1990,11,5,309,1990-11-05,-7.95,-6.17,1.51,92.06,3.84,79.7
"251",46.29,-63.12,1990,11,6,310,1990-11-06,-8.85,-4.8,0.23,84.62,4.57,70.1
"252",46.29,-63.12,1990,11,7,311,1990-11-07,-10.94,-4.36,0.03,77.75,3.2,83.8
"253",46.29,-63.12,1990,11,8,312,1990-11-08,-9.58,-4.48,0.16,81.94,3.9,129.5
"254",46.29,-63.12,1990,11,9,313,1990-11-09,-5.02,0.23,7.34,96.38,7.75,50.9
"255",46.29,-63.12,1990,11,10,314,1990-11-10,-1.4,0.17,2.82,91.25,10.21,66.3
"256",46.29,-63.12,1990,11,11,315,1990-11-11,-2.06,-0.18,0.7,91.56,4.67,131.8
"257",46.29,-63.12,1990,11,12,316,1990-11-12,-5.1,-1.56,0.77,90.75,4,103.3
"258",46.29,-63.12,1990,11,13,317,1990-11-13,-6.09,-3.65,1.89,90.62,2.49,77.2
"259",46.29,-63.12,1990,11,14,318,1990-11-14,-4.88,-1.92,0.32,77.38,9.64,67.6
