"","Year","Month","Day","Max.Temp..Â.C.","Min.Temp..Â.C.","Total.Precip..mm."
"7153",1990,8,1,22,17.5,55.2
"7154",1990,8,2,19.5,15.5,24.8
"7155",1990,8,3,22.5,15.5,0
"7156",1990,8,4,30,10.5,0
"7157",1990,8,5,30,20,0
"7158",1990,8,6,27,17,0
"7159",1990,8,7,27,17,0
"7160",1990,8,8,28,16,0
"7161",1990,8,9,26.5,20,0
"7162",1990,8,10,28,17.5,0
"7163",1990,8,11,29,19.5,4.4
"7164",1990,8,12,23,21,35.6
"7165",1990,8,13,27,20,0
"7166",1990,8,14,26,19,17.8
"7167",1990,8,15,25.5,13.5,0
"7168",1990,8,16,22.5,16.5,0
"7169",1990,8,17,27,12.5,0
"7170",1990,8,18,26.5,18,22.6
"7171",1990,8,19,17.5,13,0.8
"7172",1990,8,20,18,13,0
"7173",1990,8,21,22,7.5,0
"7174",1990,8,22,24.5,9.5,0
"7175",1990,8,23,27,14,0
"7176",1990,8,24,25,15,0
"7177",1990,8,25,28,13.5,0
"7178",1990,8,26,28.5,18,0
"7179",1990,8,27,29.5,16,3
"7180",1990,8,28,25.5,17,1.4
"7181",1990,8,29,24,18,0
"7182",1990,8,30,22,14,0
"7183",1990,8,31,24,10,0
"7184",1990,9,1,24,8,0
"7185",1990,9,2,23.5,16,12
"7186",1990,9,3,19,14.5,0
"7187",1990,9,4,18,12.5,0
"7188",1990,9,5,18,9.5,0
"7189",1990,9,6,23,8.5,0
"7190",1990,9,7,24,12.5,22.6
"7191",1990,9,8,14,10.5,0
"7192",1990,9,9,19,3.5,0
"7193",1990,9,10,19,10.5,0
"7194",1990,9,11,18.5,12.5,0
"7195",1990,9,12,20.5,1.5,0
"7196",1990,9,13,19,10.5,0
"7197",1990,9,14,21.5,0.5,0
"7198",1990,9,15,22.5,14,6.4
"7199",1990,9,16,18,16,0
"7200",1990,9,17,18,14,0
"7201",1990,9,18,12,7.5,0
"7202",1990,9,19,11.5,5,4.6
"7203",1990,9,20,12,8.5,50.4
"7204",1990,9,21,12.5,9.5,0
"7205",1990,9,22,18,10.5,1.6
"7206",1990,9,23,19.5,12.5,16.8
"7207",1990,9,24,17,10.5,0
"7208",1990,9,25,16,7,0
"7209",1990,9,26,19,4.5,0
"7210",1990,9,27,19,6,0
"7211",1990,9,28,21.5,10,0
"7212",1990,9,29,15.5,12.5,4.8
"7213",1990,9,30,16,6,0
"7214",1990,10,1,16.5,11.5,4.6
"7215",1990,10,2,13.5,3,13
"7216",1990,10,3,10.5,5.5,0.8
"7217",1990,10,4,13.5,3.5,6.2
"7218",1990,10,5,18,11.5,0
"7219",1990,10,6,20,6,0
"7220",1990,10,7,16.5,13.5,0
"7221",1990,10,8,11,9,1
"7222",1990,10,9,14,9,12.6
"7223",1990,10,10,10,9,0.4
"7224",1990,10,11,14.5,7,0
"7225",1990,10,12,21.5,12,0.4
"7226",1990,10,13,23.5,16.5,0
"7227",1990,10,14,23.5,19.5,3
"7228",1990,10,15,19,11,0
"7229",1990,10,16,14,6.5,0
"7230",1990,10,17,14,3,0
"7231",1990,10,18,18,10,0
"7232",1990,10,19,20,10,5.6
"7233",1990,10,20,8,3.5,0
"7234",1990,10,21,10.5,0.5,0
"7235",1990,10,22,15.5,1.5,2.4
"7236",1990,10,23,9.5,8,5.4
"7237",1990,10,24,16.5,5.5,10.4
"7238",1990,10,25,7,5.5,0.6
"7239",1990,10,26,6.5,5,14.8
"7240",1990,10,27,5,3,5.8
"7241",1990,10,28,6.5,1,0.6
"7242",1990,10,29,8,2.5,39.6
"7243",1990,10,30,7.5,5,1.8
"7244",1990,10,31,5.5,1,1
"7245",1990,11,1,2,0,0
"7246",1990,11,2,4,-2,1
"7247",1990,11,3,5,2,0.6
"7248",1990,11,4,13,-1,4
"7249",1990,11,5,4,1,0
"7250",1990,11,6,3.5,1,41
"7251",1990,11,7,3.5,0.5,3.8
"7252",1990,11,8,0.5,-3,2
"7253",1990,11,9,4,-2,0
"7254",1990,11,10,11,-1,3.6
"7255",1990,11,11,12.5,3,1.2
"7256",1990,11,12,1,-2,1
"7257",1990,11,13,1.5,-6,3
"7258",1990,11,14,3.5,-0.5,0
"7259",1990,11,15,5,-3,0
"7260",1990,11,16,8,-1,0
"7261",1990,11,17,10.5,1.5,5.6
"7262",1990,11,18,3.5,2,47.2
"7263",1990,11,19,5.5,1,13.4
"7264",1990,11,20,4,3,3.6
"7265",1990,11,21,4,1,4.2
"7266",1990,11,22,4.5,2.5,1.6
"7267",1990,11,23,4,2.5,0
"7268",1990,11,24,9,1.5,4
"7269",1990,11,25,6,1,3
"7270",1990,11,26,1.5,-1.5,0
"7271",1990,11,27,4,-5.5,3.2
"7272",1990,11,28,12,0.5,0.6
"7273",1990,11,29,12.5,7,0.8
"7274",1990,11,30,0,-1.5,0
"7275",1990,12,1,4,-7,0
"7276",1990,12,2,5.5,1,0
"7277",1990,12,3,-2,-3.5,1.5
"7278",1990,12,4,8.5,-4.5,37
"7279",1990,12,5,8,0.5,20
"7280",1990,12,6,-3,-4,0
"7281",1990,12,7,2,-4,3
"7282",1990,12,8,2.5,-3,37.4
"7283",1990,12,9,1.5,0.5,1
"7284",1990,12,10,1.5,-4.5,0
"7285",1990,12,11,-5.5,-8,3
"7286",1990,12,12,-4,-10,0
"7287",1990,12,13,6.5,-6,3.4
"7288",1990,12,14,-7.5,-10,0
"7289",1990,12,15,1.5,-12,5
"7290",1990,12,16,6.5,-1,26.8
"7291",1990,12,17,2,0.5,2.4
"7292",1990,12,18,11,-3.5,30.2
"7293",1990,12,19,7,1.5,2
"7294",1990,12,20,-6,-8.5,5
"7295",1990,12,21,4,-13,26
"7296",1990,12,22,8,0.5,18.6
"7297",1990,12,23,14.5,0.5,7.6
"7298",1990,12,24,12,1,40.4
"7299",1990,12,25,-1,-8.5,0
"7300",1990,12,26,2,-10,3
"7301",1990,12,27,-14,-15.5,0
"7302",1990,12,28,-4,-16,0
"7303",1990,12,29,5,-13,5.7
"7304",1990,12,30,7,0,9.8
"7305",1990,12,31,-5.5,-9,4
"7306",1991,1,1,-4,-15,0
"7307",1991,1,2,1.5,-14.5,0
"7308",1991,1,3,-8,-13,2
"7309",1991,1,4,-5.5,-20,0
"7310",1991,1,5,-3,-10,2
"7311",1991,1,6,-3,-10,2
"7312",1991,1,7,-12,-15.5,1
"7313",1991,1,8,-15.5,-21,0
"7314",1991,1,9,-3,-20.5,16
"7315",1991,1,10,-2.5,-11.5,4
"7316",1991,1,11,-16,-20,0
"7317",1991,1,12,-2.5,-19.5,26
"7318",1991,1,13,-2.5,-9.5,2
"7319",1991,1,14,-9.5,-17,2
"7320",1991,1,15,-9.5,-14.5,0
"7321",1991,1,16,2,-23,21
"7322",1991,1,17,4.5,-2.5,1
"7323",1991,1,18,-3,-8,2
"7324",1991,1,19,-5,-17,0
"7325",1991,1,20,1.5,-21.5,0
"7326",1991,1,21,-13,-16.5,0
"7327",1991,1,22,-16.5,-22,0
"7328",1991,1,23,-3.5,-25,5
"7329",1991,1,24,1,-17,2
"7330",1991,1,25,-17,-20.5,0
"7331",1991,1,26,-12.5,-24.5,0
"7332",1991,1,27,-2.5,-23,0
"7333",1991,1,28,1.5,-13,4
"7334",1991,1,29,0.5,-10,0
"7335",1991,1,30,-1,-12,26
"7336",1991,1,31,-5,-11,6
"7337",1991,2,1,-12.5,-17,0
"7338",1991,2,2,1.5,-21,0
"7339",1991,2,3,5.5,0,0
"7340",1991,2,4,-0.5,-9,0
"7341",1991,2,5,1.5,-9.5,1
"7342",1991,2,6,-4,-6.5,0
"7343",1991,2,7,1,-17,0
"7344",1991,2,8,4,-1.5,0
"7345",1991,2,9,1.5,-4,0
"7346",1991,2,10,-0.5,-7,4
"7347",1991,2,11,-6.5,-10,1
"7348",1991,2,12,-11,-21.5,2
"7349",1991,2,13,-11.5,-23,0
"7350",1991,2,14,5.5,-23.5,11.2
"7351",1991,2,15,9.5,-7.5,10.8
"7352",1991,2,16,2,-1.5,1
"7353",1991,2,17,-3,-17,3
"7354",1991,2,18,-6,-15.5,0
"7355",1991,2,19,3,-14,5.2
"7356",1991,2,20,4.5,-3,8
"7357",1991,2,21,-0.5,-9.5,1
"7358",1991,2,22,3,-3,4.4
"7359",1991,2,23,-13.5,-14,0
"7360",1991,2,24,-9.5,-17,4
"7361",1991,2,25,-6.5,-15.5,1
"7362",1991,2,26,-5.5,-20.5,0
"7363",1991,2,27,-7,-20,0
"7364",1991,2,28,-4,-19,0
"7365",1991,3,1,2,-16,0.5
"7366",1991,3,2,10.5,-0.5,9.8
"7367",1991,3,3,2.5,-4,1
"7368",1991,3,4,9,-6,13.8
"7369",1991,3,5,9.5,-0.5,3.6
"7370",1991,3,6,3,-6,0
"7371",1991,3,7,8.5,-7,14.2
"7372",1991,3,8,1.5,-1.5,2.5
"7373",1991,3,9,0.5,-3,1.5
"7374",1991,3,10,0.5,-1,0.9
"7375",1991,3,11,0,-0.5,10
"7376",1991,3,12,1,-4,4
"7377",1991,3,13,0.5,0,4
"7378",1991,3,14,-0.5,-4,0
"7379",1991,3,15,-2,-5,0
"7380",1991,3,16,-1,-7.5,0
"7381",1991,3,17,0,-7,0
"7382",1991,3,18,9,-5,0
"7383",1991,3,19,5.5,-0.5,5.8
"7384",1991,3,20,3.5,1,6.4
"7385",1991,3,21,-1.5,-8,0
"7386",1991,3,22,-1,-11,0
"7387",1991,3,23,-0.5,-9,0
"7388",1991,3,24,1,-5,1
"7389",1991,3,25,-0.5,-5.5,0
"7390",1991,3,26,1.5,-7,0
"7391",1991,3,27,11,-8,0
"7392",1991,3,28,5.5,-2.5,3
"7393",1991,3,29,10.5,1,0
"7394",1991,3,30,-1,-4,6
"7395",1991,3,31,2,-8,0
"7396",1991,4,1,2,-5.5,8
"7397",1991,4,2,4,-4,0
"7398",1991,4,3,5.5,-1,0
"7399",1991,4,4,11.5,-4.5,0
"7400",1991,4,5,16.5,4.5,0
"7401",1991,4,6,13.5,5,0
"7402",1991,4,7,0,-1.5,0
"7403",1991,4,8,7,-2.5,6
"7404",1991,4,9,0.5,-0.5,12.6
"7405",1991,4,10,2.5,-1,13.4
"7406",1991,4,11,1,0,7
"7407",1991,4,12,-3,-4,3
"7408",1991,4,13,6,-7,0
"7409",1991,4,14,3,-5.5,0
"7410",1991,4,15,8,-3.5,0
"7411",1991,4,16,1,-3,0
"7412",1991,4,17,1,-5,0
"7413",1991,4,18,3,-8,0
"7414",1991,4,19,7,-5.5,0
"7415",1991,4,20,5,-5.5,0
"7416",1991,4,21,6,0.5,6.4
"7417",1991,4,22,6.5,0.5,8
"7418",1991,4,23,13.5,4.5,0
"7419",1991,4,24,18,4,0
"7420",1991,4,25,10.5,3,0
"7421",1991,4,26,16,-3,0
"7422",1991,4,27,6,3.5,0
"7423",1991,4,28,7.5,-3,0
"7424",1991,4,29,6.5,-1,0
"7425",1991,4,30,8.5,-6.5,0
"7426",1991,5,1,8,-4.5,0
"7427",1991,5,2,18.5,5,1
"7428",1991,5,3,10.5,5,5.2
"7429",1991,5,4,7.5,2,0.8
"7430",1991,5,5,8.5,1,0
"7431",1991,5,6,9,-0.5,8.8
"7432",1991,5,7,16.5,6,2.2
"7433",1991,5,8,15.5,6,0
"7434",1991,5,9,10.5,5,0
"7435",1991,5,10,14,0.5,0
"7436",1991,5,11,18.5,-0.5,2
"7437",1991,5,12,18,10,5.2
"7438",1991,5,13,19,7,2
"7439",1991,5,14,11,5,0
"7440",1991,5,15,14.5,-1,0
"7441",1991,5,16,21,5,1
"7442",1991,5,17,16,5,20.4
"7443",1991,5,18,4,2,0
"7444",1991,5,19,14.5,-3.5,0
"7445",1991,5,20,21,5.5,0
"7446",1991,5,21,23,10,0
"7447",1991,5,22,12,6,0
"7448",1991,5,23,7,2,1.6
"7449",1991,5,24,15.5,4,5.6
"7450",1991,5,25,25,12,0
"7451",1991,5,26,17.5,4,0
"7452",1991,5,27,17,8,15
"7453",1991,5,28,13,8.5,1.4
"7454",1991,5,29,12,5.5,0
"7455",1991,5,30,13.5,4,0
"7456",1991,5,31,12.5,2.5,0
"7457",1991,6,1,10.5,6.5,4.2
"7458",1991,6,2,15.5,6,0
"7459",1991,6,3,15,4.5,0
"7460",1991,6,4,12,0.5,0
"7461",1991,6,5,8.5,5.5,0
"7462",1991,6,6,15.5,7,0
"7463",1991,6,7,26,8,0
"7464",1991,6,8,23,11,0
"7465",1991,6,9,16.5,2,0
"7466",1991,6,10,26,12,0
"7467",1991,6,11,29,14,6.2
"7468",1991,6,12,21.5,15,3
"7469",1991,6,13,19.5,14,4
"7470",1991,6,14,7.5,5,3
"7471",1991,6,15,12,6,0
"7472",1991,6,16,17.5,0,0
"7473",1991,6,17,16,7.5,0
"7474",1991,6,18,23.5,11,0
"7475",1991,6,19,28,14,0
"7476",1991,6,20,28,14,0
"7477",1991,6,21,23,14,0
"7478",1991,6,22,19,13,4.4
"7479",1991,6,23,19,10,0
"7480",1991,6,24,22,6,0
"7481",1991,6,25,26.5,6.5,0
"7482",1991,6,26,26,13,4.6
"7483",1991,6,27,17.5,12.5,0
"7484",1991,6,28,27,15,24
"7485",1991,6,29,19.5,17,0
"7486",1991,6,30,17.5,12,0
"7487",1991,7,1,18.5,7.5,0
"7488",1991,7,2,17.5,12,0
"7489",1991,7,3,18,6,0
"7490",1991,7,4,24,4,0
"7491",1991,7,5,27.5,10,0
"7492",1991,7,6,24,14,0
"7493",1991,7,7,25,9,3.6
"7494",1991,7,8,20.5,15,2.6
"7495",1991,7,9,21.5,15,0
"7496",1991,7,10,21,12.5,0
"7497",1991,7,11,18.5,11,1.2
"7498",1991,7,12,22,14,0
"7499",1991,7,13,27,12,3.2
"7500",1991,7,14,18.5,15,24.6
"7501",1991,7,15,21.5,13,0
"7502",1991,7,16,28.5,14.5,0
"7503",1991,7,17,29.5,17.5,14
"7504",1991,7,18,27.5,18,0
"7505",1991,7,19,30,19,0
"7506",1991,7,20,31.5,20.5,0
"7507",1991,7,21,28,19,10.4
"7508",1991,7,22,19.5,15.5,0
"7509",1991,7,23,22.5,7.5,0
"7510",1991,7,24,28.5,14,0
"7511",1991,7,25,29.5,13.5,0
"7512",1991,7,26,29,17.5,3.4
"7513",1991,7,27,21,16.5,0
"7514",1991,7,28,25.5,16,0
"7515",1991,7,29,23,16,0
"7516",1991,7,30,26,12,0
"7517",1991,7,31,23.5,15,14
"7518",1991,8,1,23.5,13,22
"7519",1991,8,2,25,14.5,14
"7520",1991,8,3,17,15,9.2
"7521",1991,8,4,18,14,7.4
"7522",1991,8,5,16.5,13.5,50.8
"7523",1991,8,6,19,12.5,3.8
"7524",1991,8,7,26,12.5,0
"7525",1991,8,8,23,13.5,0
"7526",1991,8,9,28,9,0
"7527",1991,8,10,21,16,22.6
"7528",1991,8,11,25,14.5,5.8
"7529",1991,8,12,18.5,15,0
"7530",1991,8,13,29,12.5,0
"7531",1991,8,14,30.5,19.5,0
"7532",1991,8,15,29,19,1
"7533",1991,8,16,28,19,1
"7534",1991,8,17,27,10.5,0
"7535",1991,8,18,27,19.5,0
"7536",1991,8,19,19,16,32.8
"7537",1991,8,20,19,10,0
"7538",1991,8,21,20,10,6.6
"7539",1991,8,22,22.5,14,1.6
"7540",1991,8,23,25,16,0
"7541",1991,8,24,17.5,8.5,0
"7542",1991,8,25,19.5,3,0
"7543",1991,8,26,20.5,10,0
"7544",1991,8,27,22,16,0.8
"7545",1991,8,28,23,9,0
"7546",1991,8,29,24.5,14.5,0
"7547",1991,8,30,29,19.5,6.4
"7548",1991,8,31,20.5,14.5,17
"7549",1991,9,1,12.5,9,6.4
"7550",1991,9,2,17,7,0
"7551",1991,9,3,23,9.5,0
"7552",1991,9,4,22.5,13,0
"7553",1991,9,5,20,12,0
"7554",1991,9,6,18.5,14,15.6
"7555",1991,9,7,16,13,6.8
"7556",1991,9,8,23,13.5,0
"7557",1991,9,9,18,7,0
"7558",1991,9,10,18,5,5.4
"7559",1991,9,11,14,12,23.6
"7560",1991,9,12,13,7,1
"7561",1991,9,13,15,8,1
"7562",1991,9,14,17.5,8,0
"7563",1991,9,15,17.5,5.5,0.8
"7564",1991,9,16,17,10,2
"7565",1991,9,17,25,15,2
"7566",1991,9,18,19,14,0
"7567",1991,9,19,24.5,7.5,27.6
"7568",1991,9,20,11.5,9,7.2
"7569",1991,9,21,13,7.5,2
"7570",1991,9,22,14,5,1.2
"7571",1991,9,23,18,5.5,3.4
"7572",1991,9,24,19,12.5,0.4
"7573",1991,9,25,18,5.5,14.6
"7574",1991,9,26,21,12.5,21
"7575",1991,9,27,16,12,0
"7576",1991,9,28,14.5,8,0
"7577",1991,9,29,12.5,3,8.2
"7578",1991,9,30,11,5,2.4
"7579",1991,10,1,12,-0.5,5.8
"7580",1991,10,2,16.5,8.5,6.4
"7581",1991,10,3,19,14.5,14.4
"7582",1991,10,4,16.5,11,0
"7583",1991,10,5,18,4,0
"7584",1991,10,6,18,9,10.2
"7585",1991,10,7,17,12,7
"7586",1991,10,8,11.5,2.5,0
"7587",1991,10,9,14,1,0
"7588",1991,10,10,18.5,10,0
"7589",1991,10,11,17.5,11,9.2
"7590",1991,10,12,18.5,13,1.6
"7591",1991,10,13,13,4.5,2
"7592",1991,10,14,9,2,10.4
"7593",1991,10,15,12,1.5,0
"7594",1991,10,16,14.5,2,15
"7595",1991,10,17,12,9,0
"7596",1991,10,18,14.5,9,3
"7597",1991,10,19,13.5,11.5,2.6
"7598",1991,10,20,12,4.5,5
"7599",1991,10,21,5,1,0
"7600",1991,10,22,9,-2,5.6
"7601",1991,10,23,8.5,3,0
"7602",1991,10,24,17.5,0,0
"7603",1991,10,25,17.5,9.5,0
"7604",1991,10,26,18.5,12,0
"7605",1991,10,27,10,7,13
"7606",1991,10,28,5,4.5,6.2
"7607",1991,10,29,5,1.5,0
"7608",1991,10,30,7.5,3,0
"7609",1991,10,31,10.5,5,3.6
"7610",1991,11,1,8.5,7.5,12.6
"7611",1991,11,2,15.5,5,1.4
"7612",1991,11,3,16,9.5,1
"7613",1991,11,4,9.5,6,8.2
"7614",1991,11,5,5,1.5,0
"7615",1991,11,6,7,-3,0
"7616",1991,11,7,8,-3,15
"7617",1991,11,8,8,3,0.2
"7618",1991,11,9,4,0.5,0
"7619",1991,11,10,5,-4.5,11.8
"7620",1991,11,11,10.5,2,49
"7621",1991,11,12,9.5,5.5,1.6
"7622",1991,11,13,5.5,4,2.4
"7623",1991,11,14,6,3.5,6.8
"7624",1991,11,15,5.5,2,4.2
"7625",1991,11,16,5.5,1,4.5
"7626",1991,11,17,4,0.5,4.4
"7627",1991,11,18,5,1.5,0
"7628",1991,11,19,7.5,-0.5,0
"7629",1991,11,20,14,5,1
"7630",1991,11,21,11,6,0
"7631",1991,11,22,6.5,-2,0
"7632",1991,11,23,5,-2,2.2
"7633",1991,11,24,14,3.5,2.4
"7634",1991,11,25,6.5,3,0
"7635",1991,11,26,1.5,-1,4
"7636",1991,11,27,0.5,-3,0
"7637",1991,11,28,5,-8,1.2
"7638",1991,11,29,4,0.5,0
"7639",1991,11,30,11,-0.5,2.4
"7640",1991,12,1,11,2,0
"7641",1991,12,2,6.5,-3.5,2
"7642",1991,12,3,6.5,-9,7.4
"7643",1991,12,4,6.5,-9.5,1.4
"7644",1991,12,5,-9,-11,0
"7645",1991,12,6,-8,-15,16
"7646",1991,12,7,-2,-11,10
"7647",1991,12,8,1.5,-9,1.5
"7648",1991,12,9,6,-1,3
"7649",1991,12,10,-1,-3,1
"7650",1991,12,11,3,-11,0
"7651",1991,12,12,3,-1.5,0
"7652",1991,12,13,7,-1.5,5.4
"7653",1991,12,14,6,-2,9.6
"7654",1991,12,15,1,-4,7
"7655",1991,12,16,-5.5,-11,6
"7656",1991,12,17,-5.5,-11,8
"7657",1991,12,18,-1,-19,10
"7658",1991,12,19,-4,-7,12
"7659",1991,12,20,-8,-14,12
"7660",1991,12,21,1,-12,9
"7661",1991,12,22,-0.5,-4,3
"7662",1991,12,23,1,-8,3
"7663",1991,12,24,0.5,-4,2
"7664",1991,12,25,-6,-10.5,12
"7665",1991,12,26,-3.5,-16,6
"7666",1991,12,27,-3.5,-15,6
"7667",1991,12,28,-5.5,-14,0
"7668",1991,12,29,-2.5,-9.5,0
"7669",1991,12,30,-4.5,-7.5,4
"7670",1991,12,31,-4.5,-11,0
"7671",1992,1,1,-3.5,-10,0
"7672",1992,1,2,-0.5,-18,0
"7673",1992,1,3,0,-5,0
"7674",1992,1,4,0,-15,0
"7675",1992,1,5,6,-7,31
"7676",1992,1,6,7,3,4.6
"7677",1992,1,7,1.5,0.5,0
"7678",1992,1,8,-3,-4,5
"7679",1992,1,9,-3,-6,1
"7680",1992,1,10,1,-6,4
"7681",1992,1,11,-7.5,-11,7
"7682",1992,1,12,-9,-13,0.5
"7683",1992,1,13,0,-16,1
"7684",1992,1,14,7,-4,17
"7685",1992,1,15,6,-8.5,0
"7686",1992,1,16,-13,-17,0
"7687",1992,1,17,-15,-21.5,0
"7688",1992,1,18,-11.5,-17,0.5
"7689",1992,1,19,-13.5,-19,0
"7690",1992,1,20,-15,-20.5,0
"7691",1992,1,21,-15,-22,0
"7692",1992,1,22,-15,-20,0
"7693",1992,1,23,10,-21,18.4
"7694",1992,1,24,10.5,-4.5,0.6
"7695",1992,1,25,-8,-13,1
"7696",1992,1,26,-14.5,-18,0
"7697",1992,1,27,-14,-20,0
"7698",1992,1,28,-4.5,-19,0
"7699",1992,1,29,1.5,-15,0.5
"7700",1992,1,30,-7,-8,4
"7701",1992,1,31,-5,-10.5,32
"7702",1992,2,1,-5,-7.5,35
"7703",1992,2,2,-4,-6,10
"7704",1992,2,3,-4,-5,0
"7705",1992,2,4,-6,-9,0.5
